Brand,Description,EndingInventoryUnits,UnsoldCapital
58,Gekkeikan Black & Gold Sake,385,5001.15
60,Canadian Club 1858 VAP,146,1604.54
61,Margaritaville Silver,12,167.88
62,Herradura Silver Tequila,459,16978.41
63,Herradura Reposado Tequila,442,17233.58
72,No. 3 London Dry Gin,139,4863.610000000001
75,Three Olives Tomato Vodka,7,104.93
77,Three Olives Espresso Vodka,1764,26442.36
79,Three Olives Loopy Vodka,995,14915.050000000001
86,Don Julio Real Tequila,18,5399.82
97,Smirnoff Passion Fruit Vodka,12,173.88
100,Chivas Royal Salute,59,10029.41
104,Mr Boston Wild Cherry Brandy,53,465.86999999999995
105,Mr Boston Butterscotch,9,40.410000000000004
106,Mr Boston Peach Schnapps,128,574.72
107,Mr Boston Melon Liqueur,7,40.53
108,Mr Boston Peppermint Schnaps,33,214.17000000000002
109,Mr Boston Blue Curacao,50,289.5
110,Mr Boston Creme de Menthe-Wh,4,25.96
111,Mr Boston Creme de Menthe Gr,52,337.48
112,Mr Boston Cr de Cacao White,66,428.34000000000003
113,Mr Boston Cr de Cacao Brown,37,240.13
114,Mr Boston Creme de Banana,83,538.6700000000001
115,Belvedere Vodka,1526,42712.74
120,Tarantula Azul Tequila Gift,56,783.44
123,Van Winkle Special Rsv 10 Yr,3,179.97
126,Grey Goose Vodka,4464,133875.36
128,Grey Goose Le Citron Vodka,5,164.95000000000002
129,Grey Goose L'Orange Vodka,5,149.95
131,J Lohr Carols Vyd Svgn Bl,16,255.84
143,Chivas Regal,9,332.91
148,Smirnoff Green Apple Vodka,8,115.92
150,Smirnoff Strawberry Vodka,9,130.41
151,Pirassununga Cachaca 51 Rum,58,927.4200000000001
156,The Bitter Truth Cucumber Bi,191,3818.0899999999997
159,Glenmorangie Original VAP,86,3009.1400000000003
161,DeKuyper Pineapple,49,636.51
162,Stolichnaya Vanil,210,4827.9
168,Three Olives Strawberry,771,9244.29
169,Twisted Shotz Multi Pack,6,101.94
171,Gentleman Jack,965,48240.35
175,1800 Anejo Tequila,228,9573.720000000001
178,W Turkey Russell's RSV 10 Yr,514,13872.859999999999
181,J & B Scotch,4,99.96
184,Hornitos Plata Glass Pack,1,20.99
190,Christian Bros Ruby Port,20,85.8
192,Milagro Anejo Tequila,261,9393.390000000001
194,Yazi Ginger Vodka,1,29.99
197,44* North Huckleberry Vodka,5,112.44999999999999
200,Luxardo Maraschino Liqueur,298,8937.019999999999
202,Ketel One Citroen Vodka,59,1710.4099999999999
203,Jose Cuervo Especial Silver,4,87.96
204,Smirnoff Pineapple,9,130.41
206,Three Olives Vodka,16,287.84
207,Smirnoff Pomegrante,5,72.45
211,Cold River Gin,539,16164.609999999999
213,Stolichnaya Blueberi,114,2620.8599999999997
216,Absolut Raspberri,17,339.83
217,Absolut Vanilia,45,899.55
222,Wray & Nephew Wh Overproof,48,959.52
226,DeKuyper Red Apple Schnapps,56,615.44
233,Tullamore Dew 12 Yr Old,329,14143.710000000001
234,Allen's Ginger Brandy,6,92.94
236,Loukatos Mastic Liqueur,16,287.84
240,Capt Morgan Tattoo,20,419.79999999999995
247,Gran Patron Platinum Tequil,74,14799.26
248,Wild Shot Reposado Mezcal,5,249.95000000000002
249,Massenez Creme de Cassis,15,329.84999999999997
253,Poland Spring Vodka,146,845.34
254,DeKuyper Root Beer Schnapps,149,1637.51
258,Ciroc Coconut Vodka,21,713.79
261,Svedka Citron Vodka,117,1519.8300000000002
262,Don Q Cristal Rum,2,23.98
263,Loukatos Tentoura,10,179.89999999999998
269,Juarez Triple Sec,126,502.74000000000007
271,Wild Shot Silver Mezcal,279,10041.210000000001
272,Juarez Silver Tequila,106,793.94
273,Sauza Extra Gold Tequila,4052,89103.48
274,Old Bushmills,5,129.95
275,The Bitter Truth Aromatic,134,2678.66
276,Bushmills Black Bush,19,702.8100000000001
277,Smirnoff Lime Vodka,30,434.7
278,Cazadores Reposado Tequila,15,434.84999999999997
281,Kamora Coffee Gift Pack,67,669.33
283,Milagro Tequila Reposado SBR,147,8524.53
284,Milagro Tequila Anejo SBR,201,15675.989999999998
285,Red Stag VAP 750+4/50ml,6,101.94
286,The Bitter Truth Elderflower,114,3988.86
287,The Bitter Truth Falernum,124,4338.76
288,The Bitter Truth Pink Gin,314,9416.859999999999
290,Aberlour A'Bunadh Sngle Malt,380,28496.199999999997
294,Old Mexico Gold Tequila,171,1451.79
298,Old Mexico Blanco Tequila,29,246.21
300,Don Q Gold Rum,1,18.99
304,Ciroc Red Berry Vodka,12,407.88
305,Crown Royal Canadian Whisky,827,23147.73
308,Barsol Primero Quebranta Pso,10,269.9
309,Woodford Rsv PS The District,1,45.99
311,The Glenlivet w/2 50mLs Pak,54,2321.46
313,Rothman & Winter Violette,11,241.89
315,Travis Hasse's Apple Pie Liq,1,15.99
319,Peter Paul Bacigalupi Chard,0,0.0
323,Tequila Rose Strawberry Gift,16,239.84
327,Capt Morgan Spiced Rum 100,26,623.74
332,Sailor Jerry Spiced Navy Rum,20,399.79999999999995
344,Punt e Mes Sweet Vermouth,207,4137.929999999999
350,Courvoisier VS VAP,32,735.68
354,Capt Morgan Lime Bite Rum,3,58.47
356,Carolans Irish Cr Gift Set,39,467.61
361,Effen Cucumber Vodka,784,15672.159999999998
364,Ciroc Peach Vodka,171,1366.29
365,Ciroc Vodka,154,1384.46
368,The Macallan 25 Yr Old,9,14039.91
369,Svedka Grape Vodka,14,181.86
370,Finlandia Vodka,22,307.78
371,Myers Platinum White Rum,16,159.84
373,Fernet Branca Borgetti Cafe,8,159.92
376,Aperol Liqueur,547,15857.529999999999
377,Hendrick's Gin,406,15423.94
381,Baileys Irish Cream w/2 Mugs,880,17591.199999999997
382,McCormick Irish Cream Liquer,19,199.31
384,Ardbeg Corryvreckan Scotch,260,18197.399999999998
385,Leopold GourmelAge Des Epic,1,447.99
388,Smirnoff 80 Proof,1604,23241.96
397,S S Pierce Ninety Nine Rum,1,7.49
398,S S Pierce Ninety Nine Gin,11,82.39
401,S S Pierce Ninety Nine Bl W,3,22.47
407,Hancock Rsv Bourbon,1,49.99
408,Wild Turkey American Honey,2618,52333.81999999999
415,Jose Cuervo Especial,1558,34260.42
418,Darioush Chard,5,249.95000000000002
419,Absolut Citron,342,6836.579999999999
423,Hennessy Richard Cognac,6,28181.94
425,Hennessy Paradis,20,15999.800000000001
426,Crystal Head Vodka,1080,8629.2
427,Van Gogh Chocolate Liqueur,12,107.88
428,Sauza Giro Gold Tequila,129,1224.21
435,Il Tramonto Limoncello,1124,17972.760000000002
438,Licor 43 Vanilla Liqueur,1059,19051.41
441,Caribou Crossing Canadian,1,49.99
443,St Germain Liqueur,1218,42617.82
445,Fleischmanns Extra Dry Gin,14,123.05999999999999
446,St Urbans-Hof Rsl,289,4332.110000000001
450,Vincent Van Gogh Double Esp,406,10145.939999999999
451,Hiram Walker Triple Sec,25,124.75000000000001
453,Hornitos Reposado Tequila,82,2459.18
455,Baileys Salted Caramel,5,139.95
457,El Caballo Gold Tequila,10,89.9
463,Kirk & Sweeney 12Yr Old Rum,601,20427.99
473,Ciroc Peach Vodka,35,1189.65
482,Absolut 80 Proof,2716,59724.84
485,Seagrams 7 Crown,296,3845.04
495,Sweet Carolina Sweet Tea Vdk,16,255.84
497,Capt Morgan Spiced Rum,2237,44717.63
500,Remy Martin Louis XIII,10,30499.899999999998
505,Robert Sinskey Pnt Gris,109,3268.91
506,Robert Sinskey Pnt Gris,13,324.87
508,Bacardi Superior Rum,2829,43821.21
510,Barton Vodka,8,79.92
513,Ocean Vodka,525,15744.75
515,Hirsch Selection Bourbon,246,8607.54
516,Kamora Coffee Liqueur,42,461.58
518,Malibu Black Rum,12,215.88
523,Castello Del Poggio Moscato,905,9040.95
525,El Tesoro Anejo Gold Tequil,236,9437.640000000001
529,Desert Island Iced Tea,51,371.78999999999996
533,Berkshire Mtn Ragged Mtn Rum,261,7566.389999999999
536,Svedka Cherry Vodka,64,831.36
538,Amaretto DiSaronno,1612,22551.88
539,Bowman's Vodka,324,1875.96
540,Bacardi Pineapple Fusion,237,234.63
541,Juarez Gold Tequila,48,359.52
543,Berkshire Mtn Ethereal Gin,38,1329.6200000000001
546,Bowman's Rum,7,52.43000000000001
547,DeKuyper Buttershots,48,623.52
548,DeKuyper Amaretto,18,161.82
549,DeKuyper Melon,65,584.35
550,Tijuana Oro Tequila,12,107.88
551,Cruzan Aged Light Rum,55,604.45
555,Art In The Age Sage,148,4882.52
557,Bowman's Gin,9,56.61
561,Berkshire Mtn Ice Glen Vodka,288,8349.119999999999
563,Berkshire Mtn Greylock Gin,81,2348.19
564,DeKuyper Blue Curacao,78,701.22
565,Bombay Dry Gin,89,2046.1099999999997
567,Ketel One Vodka,1194,34614.06
573,Bols Sour Apple Schnapps,21,209.79
576,Pastene Marsala,16,143.84
583,Malibu Pineapple Rum,4,67.96
585,1800 Reposado Gold Tequila,108,3238.92
586,Malibu Passion Fruit Rum,10,169.89999999999998
587,Malibu Mango Rum,114,1936.86
588,Luca Nico Malbec,3,344.96999999999997
589,Bols Blackberry Brandy,30,329.7
590,Allen's Amaretto Liqueur,13,77.87
592,The Glenlivet Archive 21 Yr,122,23178.780000000002
596,Pendleton Canadian Whisky,6,131.94
597,Baileys Irish Cream,1490,41705.1
598,Stolichnaya Ohranj Orange,194,4460.0599999999995
599,Stolichnaya Razberi,361,8299.39
600,McCormick Gin,113,823.77
601,McCormick Vodka,102,712.98
602,McCormick Blended Whiskey,260,1895.3999999999999
603,McCormick Gold Rum,30,209.70000000000002
604,McCormick Silver Rum,110,768.9
605,Alate Kosher Wine,216,3237.84
607,Schmitt Sohne Funf Rsl,184,1654.16
610,Moillard Pnt Nr Bourgogne,192,4030.08
613,Beefeater 24,3,77.97
626,Hiram Walker Cherry Brandy,8,70.32
630,Pinnacle Vodka,37,554.63
634,Cruzan Aged Light Rum,83,1161.17
635,Sobieski Raspberry Vodka,6,59.94
636,Bols Pomegranate Liqueur,30,284.7
640,Sobieski Orange Vodka,14,139.86
644,Amaretto DiSaronno,113,3162.87
649,Sauza Tres Generaciones Pla,251,10037.49
650,McCormick Cherry Vodka,12,83.88
652,Frangelico Gift Pack 2 Glass,124,2726.7599999999998
653,Dom de Canton Ginger Liqueur,551,20932.49
656,Grappa di Sassicaia,4,199.96
657,DeKuyper Apricot Brandy,12,95.88
658,Allens Triple Sec,168,502.32000000000005
659,Rhum Barbancourt Estate RSV,215,7307.85
661,Red Stag by Jim Beam,1193,17883.07
664,Ardbeg Uigeadail Scotch,259,19163.41
665,McCormick Grape Vodka,30,209.7
669,Robert Sinskey Merlot,161,6438.39
675,Mount Gay 1703 Old Cask Slct,79,7899.209999999999
