Description,TotalSalesDollars,GrossProfit,ProfitMargin,StockTurnover,TargetSegment
Jack Daniels No 7 Black,7964746.76,2139961.5999999996,26.525491170201974,0.9886575444024365,Others
Tito's Handmade Vodka,7399657.58,1781028.26,28.95363446738052,0.9874212935144232,Others
Grey Goose Vodka,7209608.0600000005,1946003.0899999996,25.413817266773513,0.984473842521664,Others
Capt Morgan Spiced Rum,6356320.62,1733386.1199999999,27.261763602349223,1.0056616628365536,Others
Absolut 80 Proof,6244752.029999999,1599051.9399999995,27.051973257161904,0.9813341323634763,Others
Jameson Irish Whiskey,5715759.6899999995,1406395.2899999996,25.178986577437357,0.9727400858169277,Others
Ketel One Vodka,5070083.5600000005,1396122.0400000003,24.25683732684787,0.9636332140874714,Others
Baileys Irish Cream,4150122.07,1219790.65,27.784080329939645,0.9992218777181627,Others
Kahlua,3604858.66,888765.0100000001,25.178073825287335,0.9892301665154479,Others
Tanqueray,3456697.9,970420.7999999999,27.174826685979646,0.9947747200856311,Others
Jim Beam,3387951.46,924407.2500000002,37.30080258508681,1.639154307737808,Others
Bacardi Superior Rum,3164376.06,1003366.67,36.21580703150621,1.2833412186723192,Others
Crown Royal,3050260.56,779772.04,23.422839285859453,0.9971005420149845,Others
Patron Silver Tequila,2841673.06,727975.7000000001,20.17116331660426,0.936391231037323,Others
Dewars White Label,2715618.4299999997,848446.8499999999,24.192815614612236,0.9912111801503665,Others
Bombay Sapphire Gin,2668756.42,759227.8199999997,26.960307301946294,0.9928202195498932,Others
Smirnoff Traveler,2592041.35,503706.51,19.43281151745515,0.9186980283295948,Others
Jose Cuervo Especial,2585342.94,677936.2799999999,28.227493116574397,0.9940873396454439,Others
Johnnie Walker Black Label,2409134.67,516319.05000000016,24.073069146362407,0.9741472125633236,Others
Smirnoff 80 Proof,2408193.74,812979.6799999999,27.786739458710713,1.0516795842931712,Others
Fireball Cinnamon Whisky,2383974.22,553558.8400000001,22.47568642713035,0.9516074142945977,Others
Kendall Jackson Chard Vt RSV,2326007.78,865935.4199999999,37.2283974045865,0.9933694382105828,Others
Johnnie Walker Red Label,2110136.83,400727.14,24.771897524742954,1.0033899790210634,Others
Makers Mark,2097444.4,468657.86000000004,21.86017851185675,0.9274770872139513,Others
